Name,NGOs
https://www.activecitizensfund.gr/foreas/3824/,ActionAid Hellas
https://www.activecitizensfund.gr/foreas/accessible-limitless-living/,ALL - Accessible Limitless Living
https://www.activecitizensfund.gr/foreas/elliniki-etaireia-nosoy-alzheimer-kai-syggenon-diatarachon-chalkidas/,Alzheimer Χαλκίδας
https://www.activecitizensfund.gr/foreas/anasa-politistiko-kentro-afrikanikis-technis-kai-politismon/,ANASA – Πολιτιστικό Κέντρο Αφρικάνικης Τέχνης και Πολιτισμών
https://www.activecitizensfund.gr/foreas/apicco-community-based-art/,APICCO
https://www.activecitizensfund.gr/foreas/art-hub-athens/,Art Hub Athens
https://www.activecitizensfund.gr/en/project-promoter/art-of-hosting-athina/,Art of Hosting Athina
https://www.activecitizensfund.gr/foreas/artifactory/,Artifactory
https://www.activecitizensfund.gr/foreas/athens-network-of-collaborating-experts-ance/,Athens Network of Collaborating Experts (ANCE)
https://www.activecitizensfund.gr/foreas/filarakia-elladas/,Best Buddies Greece - Φιλαράκια Ελλάδας
https://www.activecitizensfund.gr/foreas/challedu/,CHALLEDU
https://www.activecitizensfund.gr/foreas/commonspace/,Commonspace
https://www.activecitizensfund.gr/foreas/cyberno/,Cyberno
https://www.activecitizensfund.gr/foreas/datawo/,DataWo
https://www.activecitizensfund.gr/foreas/equal-rights-beyond-borders/,Equal Rights Beyond Borders
https://www.activecitizensfund.gr/foreas/koinonia-ison-eykairion/,Equal Society
https://www.activecitizensfund.gr/foreas/exile-room/,Exile Room
https://www.activecitizensfund.gr/foreas/givmed/,GIVMED
https://www.activecitizensfund.gr/foreas/the-green-tank/,Green Tank
https://www.activecitizensfund.gr/foreas/heterart/,HeterArt
https://www.activecitizensfund.gr/foreas/higgs/,HIGGS – Higher Incubator Giving Growth & Sustainability
https://www.activecitizensfund.gr/foreas/iomo-digitalis/,Homo Digitalis
https://www.activecitizensfund.gr/foreas/homo-evolution/,Homo Evolution
https://www.activecitizensfund.gr/foreas/icon-greece/,Icon Greece
https://www.activecitizensfund.gr/foreas/impact-hub-athens/,Impact Hub Athens
https://www.activecitizensfund.gr/foreas/institoyto-prolipsis-kai-anaptyxis/,Institute of Prevention and Development
https://www.activecitizensfund.gr/foreas/komvos-diadrastikis-metaforas-gnosis-intermediakt/,InterMediaKT
https://www.activecitizensfund.gr/foreas/international-rescue-committee/,International Rescue Committee (IRC) Hellas
https://www.activecitizensfund.gr/foreas/isea-astiki-mi-kerdoskopiki-etairia-gia-tin-prostasia-ton-ydatinon-oikosystimaton/,iSea
https://www.activecitizensfund.gr/foreas/kroma/,KROMA
https://www.activecitizensfund.gr/foreas/mesogeiako-institoyto-gia-ti-fysi-kai-ton-anthropo/,MedINA - Μεσογειακό Ινστιτούτο για τη Φύση και τον Άνθρωπο
https://www.activecitizensfund.gr/foreas/to-mesologgi-ton-ntopion/,Messolonghi by Locals - Το Μεσολόγγι των Ντόπιων
https://www.activecitizensfund.gr/foreas/myrtillo/,Myrtillo
https://www.activecitizensfund.gr/foreas/new-wrinkle/,New Wrinkle
https://www.activecitizensfund.gr/foreas/6488/,Openous
https://www.activecitizensfund.gr/foreas/people-behind/,People Behind
https://www.activecitizensfund.gr/foreas/praksis/,Praksis
https://www.activecitizensfund.gr/foreas/processwork-hub/,Processwork Hub
https://www.activecitizensfund.gr/foreas/quaesura/,Quaesura
https://www.activecitizensfund.gr/foreas/epistimi-epikoinonia/,SciCo - Επιστήμη Επικοινωνία
https://www.activecitizensfund.gr/foreas/sociality-kooperativa-psifiakis-epikoinonias/,Sociality
https://www.activecitizensfund.gr/foreas/space-innovation/,SPIN – Space Innovation
https://www.activecitizensfund.gr/foreas/storymentor-istories-poy-allazoyn-ton-kosmo/,Storymentor – Ιστορίες που αλλάζουν τον κόσμο
https://www.activecitizensfund.gr/foreas/the-e-square-project/,The E square Project
https://www.activecitizensfund.gr/foreas/thepressproject/,The Press Project
https://www.activecitizensfund.gr/foreas/velos-youth/,Velos Youth
https://www.activecitizensfund.gr/foreas/vouliwatch/,Vouliwatch
https://www.activecitizensfund.gr/foreas/we-need-books/,We Need Books
https://www.activecitizensfund.gr/foreas/wise-greece/,Wise Greece
