Company Name,Website,Κατηγορία,Email,Facebook,LinkedIn,Instagram,YouTube,Twitter,TikTok,YouBeHero,YouBeHero URL (from YouBeHero),Desmos,Name (from Desmos),ACF,Name (from ACF),WebsiteAudits,ngoHeroes,Name (from ngoHeroes),Social Dynamo,SocialDynamo URL (from Social Dynamo),Ethelon,Ethelon URL (from Ethelon),Media Items,HubSpot Company ID,Last Modified,Διεύθυνση,Πόλη,WordPress
Travelectors,,,travelector2020@gmail.com,https://www.facebook.com/travelectors,https://www.linkedin.com/company/travelectors,,,,,,,,,,,,https://ngoheroes.gr/company/%ce%b1%cf%83%cf%84%ce%b9%ce%ba%ce%ae-%ce%bc%ce%b7-%ce%ba%ce%b5%cf%81%ce%b4%ce%bf%cf%83%ce%ba%ce%bf%cf%80%ce%b9%ce%ba%ce%ae-%ce%b5%cf%84%ce%b1%ce%b9%cf%81%ce%b5%ce%af%ce%b1-travelectors/,https://ngoheroes.gr/company/%ce%b1%cf%83%cf%84%ce%b9%ce%ba%ce%ae-%ce%bc%ce%b7-%ce%ba%ce%b5%cf%81%ce%b4%ce%bf%cf%83%ce%ba%ce%bf%cf%80%ce%b9%ce%ba%ce%ae-%ce%b5%cf%84%ce%b1%ce%b9%cf%81%ce%b5%ce%af%ce%b1-travelectors/,,,,,,9948156898,9/9/2024 11:33am,,,
Δωμάτιο/Domatio,,,domatio.info@gmail.com,https://www.facebook.com/Art.and.more.domatio/,,https://www.instagram.com/domatio.team,,,,,,,,,,,https://ngoheroes.gr/company/domatio-%ce%ba%ce%bf%ce%b9%ce%bd%cf%83%ce%b5%cf%80/,https://ngoheroes.gr/company/domatio-%ce%ba%ce%bf%ce%b9%ce%bd%cf%83%ce%b5%cf%80/,,,,,,9948156901,2/29/2024 11:00pm,,,
RSF Hellas,,,president@rsfhellas.net,https://www.facebook.com/rsfhellas,https://www.linkedin.com/company/rsf-hellas/,,,,,,,,,,,,https://ngoheroes.gr/company/rsf-hellas/,https://ngoheroes.gr/company/rsf-hellas/,,,,,,9947920857,2/29/2024 11:00pm,,,
Ένα παιδί μετράει τα άστρα,,,looktothestars7@gmail.com,https://www.facebook.com/looktothestars7,,https://www.instagram.com/looktothestars7/,,,,,,,,,,,https://ngoheroes.gr/company/%ce%b5%ce%bd%ce%b1-%cf%80%ce%b1%ce%b9%ce%b4%ce%b9-%ce%bc%ce%b5%cf%84%cf%81%ce%b1%ce%b5%ce%b9-%cf%84-%ce%b1%cf%83%cf%84%cf%81%ce%b1-%ce%ba%ce%bf%ce%b9%ce%bd-%cf%83-%ce%b5%cf%80/,https://ngoheroes.gr/company/%ce%b5%ce%bd%ce%b1-%cf%80%ce%b1%ce%b9%ce%b4%ce%b9-%ce%bc%ce%b5%cf%84%cf%81%ce%b1%ce%b5%ce%b9-%cf%84-%ce%b1%cf%83%cf%84%cf%81%ce%b1-%ce%ba%ce%bf%ce%b9%ce%bd-%cf%83-%ce%b5%cf%80/,,,,,,9948080570,2/29/2024 11:00pm,,,
Οι Γέφυρες Κοιν.Σ.Επ. Ένταξης,,,cafegefires.koinsep@gmail.com,https://www.facebook.com/cafegefyres,,,,https://twitter.com/cafegefires,,,,,,,,,https://ngoheroes.gr/company/%ce%bf%ce%b9-%ce%b3%ce%ad%cf%86%cf%85%cf%81%ce%b5%cf%82-%ce%ba%ce%bf%ce%b9%ce%bd-%cf%83-%ce%b5%cf%80-%ce%ad%ce%bd%cf%84%ce%b1%ce%be%ce%b7%cf%82/,https://ngoheroes.gr/company/%ce%bf%ce%b9-%ce%b3%ce%ad%cf%86%cf%85%cf%81%ce%b5%cf%82-%ce%ba%ce%bf%ce%b9%ce%bd-%cf%83-%ce%b5%cf%80-%ce%ad%ce%bd%cf%84%ce%b1%ce%be%ce%b7%cf%82/,,,,,,9948091373,2/29/2024 11:00pm,,,
Με Οδηγό το Διαβήτη,,Υγεία,info@kartadiaviti.gr,https://www.facebook.com/kartadiaviti,https://www.linkedin.com/company/%CE%BC%CE%B5-%CE%BF%CE%B4%CE%B7%CE%B3%CF%8C-%CF%84%CE%BF-%CE%B4%CE%B9%CE%B1%CE%B2%CE%AE%CF%84%CE%B7/,,,,,,,,,,,not working,https://ngoheroes.gr/company/%ce%bc%ce%b5-%ce%bf%ce%b4%ce%b7%ce%b3%ce%bf-%cf%84%ce%bf-%ce%b4%ce%b9%ce%b1%ce%b2%ce%b7%cf%84h/,https://ngoheroes.gr/company/%ce%bc%ce%b5-%ce%bf%ce%b4%ce%b7%ce%b3%ce%bf-%cf%84%ce%bf-%ce%b4%ce%b9%ce%b1%ce%b2%ce%b7%cf%84h/,,,,,,9948080572,2/29/2024 11:00pm,,,
ΦΙΞ in art,,,communications@inartngo.com,https://www.facebook.com/fixinart,,,,https://twitter.com/fixinart,,,,,,,,not working,https://ngoheroes.gr/company/%cf%86%ce%b9%ce%be-in-art/,https://ngoheroes.gr/company/%cf%86%ce%b9%ce%be-in-art/,,,,,,9947920867,2/29/2024 11:00pm,,,
AEGEE-Athina,,,info@aegee-athina.gr,https://www.facebook.com/AEGEE.Athina/,https://www.linkedin.com/company/aegeeathina/,https://www.instagram.com/aegeeathina/,,https://twitter.com/AEGEE_Athina,,,,,,,,not working,https://ngoheroes.gr/company/aegee-athina/,https://ngoheroes.gr/company/aegee-athina/,,,,,,9948157115,2/29/2024 11:00pm,,,
Σύλλογος των Σενεγαλέζων στην Αθήνα,,,,https://www.facebook.com/profile.php?id=100028342705694,,,,,,,,,,https://www.activecitizensfund.gr/foreas/syllogos-ton-senegalezon-stin-athina/,https://www.activecitizensfund.gr/foreas/syllogos-ton-senegalezon-stin-athina/,,,,,,,,,,3/9/2024 1:31am,,,
Ινστιτούτο Δημιουργικότητας – Έρευνας – Ανάπτυξης Περιφέρειας Θέρμου,,,,https://www.facebook.com/profile.php?id=100066882214857,,,,,,,,,,https://www.activecitizensfund.gr/foreas/institoyto-dimioyrgikotitas-ereynas-anaptyxis-perifereias-thermoy/,https://www.activecitizensfund.gr/foreas/institoyto-dimioyrgikotitas-ereynas-anaptyxis-perifereias-thermoy/,,,,,,,,,,3/21/2024 12:38am,,,
