Name,MASTER _ NGOs,Website (from MASTER _ NGOs),scanDate,all,2XX,3XX,4XX,f
Lost the domain name,Womanitee,https://www.womanitee.gr/,"March 1, 2024",,,,,NaN
https://thetippingpoint.org.gr/,Tipping Point,https://thetippingpoint.org.gr/,"December 5, 2023",388,354,8,17,4.4%
https://www.callisto.gr/,Καλλιστώ,https://www.callisto.gr/,"December 5, 2023",3117,2167,241,52,1.7%
https://almazois.gr/,ΑΛΜΑ ΖΩΗΣ - Πανελλήνιος Σύλλογος Γυναικών με Καρκίνο Μαστού,https://almazois.gr/,"December 5, 2023",8184,4366,1435,111,1.4%
https://positivevoice.gr/,Θετική Φωνή – Σύλλογος Οροθετικών Ελλάδος,https://positivevoice.gr/,"December 5, 2023",6472,5109,1031,142,2.2%
https://allforblue.org/,All For Blue,https://allforblue.org/,"December 5, 2023",2093,2762,95,34,1.6%
https://intermediakt.org/,InterMediaKT,https://intermediakt.org/,"December 5, 2023",2126,1438,119,517,24.3%
not working,"Με Οδηγό το Διαβήτη,ΦΙΞ in art",,,,,,,NaN
not working,AEGEE-Athina,,,,,,,NaN
not working,Ελληνικό Αντικαρκινικό Ινστιτούτο,https://www.antikarkiniko.gr/,,,,,,NaN
not working,Σύλλογος Μερίμνης Ανηλίκων και Νέων,https://www.sman-athens.org/,,,,,,NaN
Hacked,"""Ευρωπαϊκό Ινστιτούτο Δικαίου, Επιστήμης και Τεχνολογίας""",https://www.eurilst.org/,,,,,,NaN
Probably lost the domain name,Campfire Innovation,https://campfireinnovation.org/,,,,,,NaN
Dead website,The International School of Peace,https://www.schoolofpeace.org.il/,,,,,,NaN
Cloudflare,Good As You(th),https://goodasyouth.com/,,,,,,NaN
