Name,MASTER
https://ngoheroes.gr/company/%ce%ad%ce%bd%cf%89%cf%83%ce%b7-%ce%ba%cf%85%cf%81%ce%b9%cf%8e%ce%bd-%ce%b4%cf%81%ce%ac%ce%bc%ce%b1%cf%82-%cf%83%cf%80%ce%af%cf%84%ce%b9-%ce%b1%ce%bd%ce%bf%ce%b9%cf%87%cf%84%ce%ae%cf%82-%cf%86%ce%b9%ce%bb%ce%bf%ce%be%ce%b5%ce%bd%ce%af%ce%b1%cf%82/,Ένωση Κυριών Δράμας
https://ngoheroes.gr/company/%ce%af%ce%b4%cf%81%cf%85%ce%bc%ce%b1-%ce%ba%ce%bf%ce%b9%ce%bd%cf%89%ce%bd%ce%b9%ce%ba%ce%ae%cf%82-%ce%b5%cf%81%ce%b3%ce%b1%cf%83%ce%af%ce%b1%cf%82/,Ίδρυμα Κοινωνικής Εργασίας
https://ngoheroes.gr/company/%ce%af%ce%b4%cf%81%cf%85%ce%bc%ce%b1-%ce%bb%ce%b1%ce%bc%cf%80%cf%81%ce%ac%ce%ba%ce%b7/,Ίδρυμα Λαμπράκη
https://ngoheroes.gr/company/%ce%b1%ce%bc%ce%ba%ce%b5-%cf%86%ce%b1%ce%b9%ce%bd%ce%b1%cf%81%ce%b5%cf%84%ce%b7/,Φαιναρέτη
https://ngoheroes.gr/company/%ce%b1%ce%bd%ce%b1%ce%ba%cf%85%ce%ba%ce%bb%cf%8e%ce%bd%cf%89-%cf%83%cf%84%ce%b7%ce%bd-%cf%80%ce%b7%ce%b3%ce%ae/,Ανακυκλώνω Στην Πηγή
https://ngoheroes.gr/company/%ce%b1%ce%bd%ce%b5%ce%bc%ce%bf%cf%83-%ce%b4%ce%b7%ce%bc%ce%b9%ce%bf%cf%85%cf%81%ce%b3%ce%b9%ce%b1%cf%83-%ce%b1%ce%bc%ce%ba%ce%b5/,Άνεμος Δημιουργίας
https://ngoheroes.gr/company/%ce%b1%ce%bd%ce%b9%ce%bc%ce%b1-home/,ΑΝΙΜΑ HOME
https://ngoheroes.gr/company/%ce%b1%ce%bd%cf%84%ce%b9%ce%b3%ce%bf%ce%bd%ce%b7-%ce%ba%ce%ad%ce%bd%cf%84%cf%81%ce%bf-%cf%80%ce%bb%ce%b7%cf%81%ce%bf%cf%86%cf%8c%cf%81%ce%b7%cf%83%ce%b7%cf%82-%ce%b3%ce%b9%ce%b1-%cf%84%ce%bf%ce%bd-%cf%81%ce%b1%cf%84%cf%83%ce%b9%cf%83%ce%bc%cf%8c-%cf%84%ce%b7%ce%bd-%ce%bf%ce%b9%ce%ba%ce%bf%ce%bb%ce%bf%ce%b3%ce%af%ce%b1-%cf%84%ce%b7%ce%bd-%ce%b5%ce%b9%cf%81%ce%ae%ce%bd%ce%b7-%ce%ba%ce%b1%ce%b9-%cf%84%ce%b7-%ce%bc%ce%b7-%ce%b2%ce%af%ce%b1/,"""ΑΝΤΙΓΟΝΗ - Κέντρο Πληροφόρησης και Τεκμηρίωσης για το Ρατσισμό, την Οικολογία, την Ειρήνη και τη Μη Βία"""
https://ngoheroes.gr/company/%ce%b1%ce%bd%cf%84%ce%b9%ce%bc%ce%b5%cf%84%cf%8e%cf%80%ce%b9%cf%83%ce%b7-%cf%80%ce%b1%ce%b9%ce%b4%ce%b9%ce%ba%ce%bf%cf%8d-%cf%84%cf%81%ce%b1%cf%8d%ce%bc%ce%b1%cf%84%ce%bf%cf%82/,Αντιμετώπιση Παιδικού Τραύματος
https://ngoheroes.gr/company/%ce%b1%cf%80%ce%bf%cf%83%cf%84%ce%bf%ce%bb%ce%ae-%ce%b1%ce%bd%ce%b8%cf%81%cf%89%cf%80%ce%bf%cf%83/,Αποστολή ΑΝΘΡΩΠΟΣ
https://ngoheroes.gr/company/%ce%b1%cf%80%cf%84%ce%b1%ce%bb%ce%b9%ce%ba%ce%bf-%ce%b1%ce%bc%ce%ba%ce%b5/,Απτάλικο
https://ngoheroes.gr/company/%ce%b1%cf%83%cf%84%ce%b9%ce%ba%ce%ae-%ce%bc%ce%b7-%ce%ba%ce%b5%cf%81%ce%b4%ce%bf%cf%83%ce%ba%ce%bf%cf%80%ce%b9%ce%ba%ce%ae-%ce%b5%cf%84%ce%b1%ce%b9%cf%81%ce%b5%ce%af%ce%b1-travelectors/,Travelectors
https://ngoheroes.gr/company/%ce%b1%cf%85%cf%84%ce%bf%ce%b3%ce%bd%cf%89%cf%83%ce%b9%ce%b1/,Αυτογνωσία 
https://ngoheroes.gr/company/%ce%b3%ce%b5%cf%86%cf%85%cf%81%ce%b1-%ce%b6%cf%89%ce%b7%cf%83-%ce%b1%ce%bc%ce%b5%ce%b1/,Γέφυρα Ζωής
https://ngoheroes.gr/company/%ce%b3%ce%b7-%ce%b8%ce%b5%cf%81%ce%b1%cf%80%ce%b1%ce%b9%ce%bd%ce%af%cf%82-%cf%83%cf%89%ce%bc%ce%b1%cf%84%ce%b5%ce%af%ce%bf-%ce%bc%ce%b7-%ce%ba%ce%b5%cf%81%ce%b4%ce%bf%cf%83%ce%ba%ce%bf%cf%80%ce%b9%ce%ba%cf%8c-%ce%b3%ce%b9%ce%b1-%ce%ac%cf%84%ce%bf%ce%bc%ce%b1-%ce%bc%ce%b5-%ce%b1%ce%bd%ce%b1%cf%80%cf%84%cf%85%ce%be%ce%b9%ce%b1%ce%ba%ce%ad%cf%82-%ce%b4%ce%b9%ce%b1%cf%84%ce%b1%cf%81%ce%b1%cf%87%ce%ad%cf%82/,Γη Θεραπαινίς
